customer_id,segment,age,risk_score,tenure_months,churn_label
C000000,mass,35,24.49,36,1
C000001,affluent,62,8.69,109,0
C000002,mass,32,50.54,7,1
C000003,mass,62,54.49,57,0
C000004,mass,18,75.88,41,0
C000005,affluent,37,21.53,196,0
C000006,mass,24,35.9,89,1
C000007,mass,64,45.94,32,0
C000008,business,60,29.32,161,0
C000009,mass,54,19.23,18,0
C000010,mass,36,98.52,219,0
C000011,mass,35,45.34,214,1
C000012,mass,31,67.02,180,0
C000013,business,63,63.5,137,0
C000014,affluent,52,26.99,237,0
C000015,mass,61,32.43,197,0
C000016,affluent,30,80.5,103,0
C000017,mass,54,87.64,81,0
C000018,mass,59,45.89,68,0
C000019,mass,52,26.27,150,0
C000020,mass,41,21.93,36,0
C000021,mass,21,86.11,40,1
C000022,mass,45,59.64,99,0
C000023,mass,51,25.14,142,0
C000024,private,42,68.17,138,1
C000025,affluent,49,11.16,112,0
C000026,mass,64,87.59,68,1
C000027,business,57,91.26,223,0
C000028,mass,50,60.9,40,0
C000029,mass,51,91.85,154,0
C000030,mass,41,87.87,213,1
C000031,affluent,43,87.8,21,0
C000032,mass,22,97.8,137,0
C000033,affluent,58,94.68,43,0
C000034,mass,45,96.44,238,0
C000035,mass,30,71.29,103,0
C000036,business,53,89.96,116,0
C000037,mass,39,2.1,142,0
C000038,mass,22,70.78,16,0
C000039,mass,39,7.09,61,0
C000040,mass,52,13.23,240,0
C000041,private,50,78.46,207,0
C000042,mass,60,43.11,109,1
C000043,mass,21,67.34,166,0
C000044,mass,39,80.06,28,0
C000045,mass,46,14.02,47,0
C000046,mass,22,44.31,221,0
C000047,private,69,83.6,24,0
C000048,business,35,40.64,124,0
C000049,mass,21,16.46,1,0
C000050,business,54,28.52,179,0
C000051,business,60,66.19,125,0
C000052,mass,21,57.92,139,0
C000053,mass,21,58.42,129,0
C000054,business,28,96.08,21,0
C000055,private,39,67.52,61,0
C000056,mass,54,24.62,153,0
C000057,mass,60,58.37,134,1
C000058,mass,60,71.62,62,0
C000059,mass,59,30.0,81,0
C000060,business,25,45.83,145,0
C000061,business,38,50.59,34,1
C000062,business,40,36.95,41,0
C000063,mass,37,61.17,207,0
C000064,affluent,63,29.94,170,1
C000065,mass,34,11.54,28,0
C000066,affluent,46,60.48,184,0
C000067,mass,34,50.54,65,0
C000068,business,30,63.43,213,0
C000069,mass,26,63.71,68,1
C000070,mass,63,42.77,3,0
C000071,mass,62,90.39,140,0
C000072,mass,53,14.81,33,0
C000073,mass,20,89.89,54,0
C000074,affluent,50,78.01,227,0
C000075,private,44,92.58,61,0
C000076,private,46,88.14,7,0
C000077,mass,44,80.22,222,0
C000078,affluent,38,78.74,28,0
C000079,mass,48,22.24,210,1
C000080,business,39,22.29,169,0
C000081,mass,22,96.69,72,0
C000082,mass,61,98.11,138,0
C000083,mass,34,17.86,68,1
C000084,mass,40,72.85,81,0
C000085,mass,25,38.52,148,0
C000086,mass,45,0.17,237,1
C000087,affluent,70,19.7,111,0
C000088,mass,39,62.32,170,0
C000089,affluent,47,50.71,171,0
C000090,mass,36,55.44,50,0
C000091,mass,61,74.81,45,0
C000092,mass,53,83.37,78,0
C000093,mass,55,60.67,83,0
C000094,mass,31,51.12,204,0
C000095,business,35,65.89,73,0
C000096,mass,39,9.34,193,0
C000097,mass,30,14.74,12,0
C000098,mass,22,45.54,227,0
C000099,mass,62,38.4,103,0
C000100,mass,18,89.27,221,0
C000101,affluent,55,21.88,206,0
C000102,business,28,55.74,235,0
C000103,affluent,57,66.76,144,0
C000104,mass,46,61.27,185,0
C000105,private,70,44.59,41,0
C000106,affluent,44,75.18,216,0
C000107,mass,51,48.46,62,0
C000108,mass,36,23.45,86,1
C000109,mass,26,15.08,99,0
C000110,affluent,32,41.49,85,0
C000111,mass,31,83.29,100,0
C000112,business,26,85.67,196,0
C000113,mass,40,29.86,100,0
C000114,private,61,53.82,189,0
C000115,mass,32,48.82,70,0
C000116,mass,39,66.89,205,1
C000117,mass,47,91.95,160,0
C000118,mass,55,56.44,7,0
C000119,mass,47,18.17,67,0
C000120,mass,38,33.75,226,0
C000121,mass,44,25.23,21,0
C000122,mass,21,99.99,90,0
C000123,mass,59,4.03,8,1
C000124,business,26,62.13,62,0
C000125,mass,54,94.78,120,0
C000126,affluent,38,60.59,192,0
C000127,affluent,38,96.47,28,0
C000128,mass,54,67.73,97,0
C000129,mass,22,59.21,213,0
C000130,mass,37,85.03,154,1
C000131,affluent,64,78.26,89,0
C000132,mass,22,50.6,88,0
C000133,mass,49,10.55,93,0
C000134,mass,63,15.3,46,0
C000135,affluent,45,61.59,236,0
C000136,mass,45,82.57,152,0
C000137,mass,23,27.89,116,0
C000138,mass,57,66.82,87,0
C000139,mass,29,48.75,91,0
C000140,affluent,66,70.12,71,0
C000141,mass,30,8.56,185,0
C000142,mass,33,69.06,166,0
C000143,affluent,29,9.31,57,0
C000144,mass,60,58.16,122,0
C000145,mass,65,55.04,91,0
C000146,affluent,44,23.05,185,0
C000147,mass,52,95.09,177,1
C000148,mass,48,27.65,151,0
C000149,business,43,98.05,214,0
C000150,mass,29,30.23,182,0
C000151,mass,21,55.34,179,0
C000152,business,56,10.26,4,0
C000153,mass,46,34.07,14,0
C000154,mass,25,82.21,103,0
C000155,mass,61,5.36,39,0
C000156,affluent,33,99.39,31,0
C000157,mass,56,79.07,58,0
C000158,affluent,56,29.74,151,0
C000159,business,64,6.02,190,0
C000160,mass,58,21.1,170,0
C000161,mass,53,7.51,1,0
C000162,mass,48,29.13,60,0
C000163,mass,47,7.12,60,0
C000164,business,65,58.98,206,0
C000165,business,59,22.48,39,0
C000166,business,29,5.96,203,0
C000167,mass,54,92.12,113,0
C000168,mass,62,40.25,70,0
C000169,mass,23,59.8,228,0
C000170,mass,34,2.59,59,0
C000171,business,61,58.71,6,0
C000172,business,42,57.62,196,0
C000173,affluent,69,44.22,72,0
C000174,mass,58,81.42,24,0
C000175,mass,38,67.01,220,0
C000176,mass,49,28.82,103,0
C000177,affluent,57,8.81,65,0
C000178,mass,43,86.49,212,0
C000179,business,59,46.2,14,0
C000180,mass,49,62.54,195,0
C000181,mass,26,92.77,113,0
C000182,private,36,97.31,156,0
C000183,affluent,47,55.08,142,0
